,Area,Age,Animal,Cell,Particle,AF
1,1.782,24mo,1,1,1,Yes
2,1.782,24mo,1,1,1,Yes
3,0.206,24mo,1,2,1,Yes
4,0.407,24mo,1,2,1,Yes
5,2.155,24mo,1,3,1,Yes
6,2.155,24mo,1,3,1,Yes
7,1.983,24mo,1,3,1,Yes
8,0.092,24mo,1,4,1,Yes
9,0.097,24mo,1,4,1,Yes
10,0.195,24mo,1,4,2,Yes
11,0.12,24mo,1,4,2,Yes
12,0.195,24mo,1,4,3,Yes
13,0.229,24mo,1,4,3,Yes
14,0.103,24mo,1,4,3,Yes
15,0.395,24mo,1,5,1,Yes
16,0.178,24mo,1,5,1,Yes
17,0.16,24mo,1,6,1,Yes
18,0.172,24mo,1,6,1,Yes
19,0.218,24mo,1,6,2,Yes
20,0.201,24mo,1,6,2,Yes
21,0.109,24mo,1,6,3,Yes
22,0.132,24mo,1,6,4,Yes
23,0.223,24mo,1,7,1,No
24,0.223,24mo,1,7,1,No
26,0.074,24mo,1,7,2,No
27,0.074,24mo,1,7,3,No
28,0.097,24mo,1,7,4,No
29,0.12,24mo,1,8,1,Yes
30,0.149,24mo,1,8,1,Yes
31,0.086,24mo,1,8,1,Yes
32,0.499,24mo,1,8,2,Yes
33,0.47,24mo,1,8,2,Yes
34,0.648,24mo,1,8,2,Yes
35,0.132,24mo,1,8,3,Yes
36,0.132,24mo,1,8,3,Yes
37,0.138,24mo,1,8,4,Yes
38,0.218,24mo,1,8,5,Yes
39,0.103,24mo,1,8,5,Yes
40,0.16,24mo,1,8,6,Yes
41,0.115,24mo,1,8,6,Yes
42,0.092,24mo,1,8,7,Yes
43,0.092,24mo,1,9,1,No
44,0.063,24mo,1,9,2,No
45,0.138,24mo,1,9,3,light
46,0.08,24mo,1,9,3,light
47,0.212,24mo,1,9,4,light
48,0.097,24mo,1,9,4,light
49,0.109,24mo,1,9,5,No
50,0.052,24mo,1,9,5,No
51,0.413,24mo,1,9,6,No
52,0.241,24mo,1,9,6,No
53,0.172,24mo,1,10,1,No
54,0.132,24mo,1,10,1,No
55,0.08,24mo,1,10,2,No
56,0.092,24mo,1,10,2,No
57,0.143,24mo,1,10,3,light
58,0.103,24mo,1,10,4,ligth
1,0.178,24mo,1,11,1,ligth
2,0.097,24mo,1,11,1,ligth
1,0.16,6mo,2,1,1,No
2,0.321,6mo,2,2,2,No
3,0.321,6mo,2,2,2,No
4,0.183,6mo,2,2,3,No
5,0.275,6mo,2,2,3,No
6,0.298,6mo,2,3,1,No
7,0.275,6mo,2,3,1,No
8,0.275,6mo,2,3,1,No
9,0.138,6mo,2,4,1,No
10,0.138,6mo,2,4,1,No
11,0.229,6mo,2,5,1,No
12,0.183,6mo,2,5,1,No
13,0.229,6mo,2,6,1,No
14,0.069,6mo,2,6,1,No
15,0.229,6mo,2,7,1,No
16,0.092,6mo,2,8,1,No
17,0.16,6mo,2,8,1,No
18,0.206,6mo,2,8,1,No
19,0.321,6mo,2,9,1,No
20,0.321,6mo,2,9,1,No
21,0.275,6mo,2,10,1,No
22,0.229,6mo,2,10,1,No
23,0.183,6mo,2,11,1,No
24,0.183,6mo,2,11,1,No
25,0.206,6mo,2,12,1,No
26,0.252,6mo,2,12,1,No
27,0.16,6mo,2,12,1,No
1,0.172,6mo,3,1,1,No
2,0.115,6mo,3,1,1,No
3,0.332,6mo,3,1,2,No
4,0.138,6mo,3,1,2,No
5,0.384,6mo,3,1,2,No
6,0.155,6mo,3,1,3,No
7,0.476,6mo,3,2,1,No
8,0.476,6mo,3,2,1,No
9,0.39,6mo,3,2,1,No
10,0.189,6mo,3,2,2,No
11,0.223,6mo,3,2,2,No
12,0.034,6mo,3,3,1,No
13,0.052,6mo,3,3,1,No
14,0.034,6mo,3,3,2,No
15,0.063,6mo,3,3,3,No
16,2.637,24mo,4,1,1,Yes
17,2.132,24mo,4,1,1,Yes
18,0.779,24mo,4,1,1,Yes
19,0.527,24mo,4,2,1,Yes
20,0.504,24mo,4,2,1,Yes
21,0.481,24mo,4,2,1,Yes
22,1.376,24mo,4,2,2,Yes
23,1.009,24mo,4,2,2,Yes
24,0.138,24mo,4,2,3,light
25,0.092,24mo,4,2,3,light
26,3.164,24mo,4,3,1,Yes
27,2.476,24mo,4,3,1,Yes
28,2.063,24mo,4,3,1,Yes
29,2.866,24mo,4,4,1,Yes
30,2.109,24mo,4,4,1,Yes
31,1.897,24mo,5,1,1,Yes
32,1.404,24mo,5,1,1,Yes
33,1.249,24mo,5,1,1,Yes
34,0.212,24mo,5,1,2,Yes
35,0.12,24mo,5,1,2,Yes
36,0.029,24mo,5,1,3,Yes
39,0.126,24mo,5,1,4,Yes
40,0.092,24mo,5,1,4,Yes
41,0.103,24mo,5,1,5,Yes
42,0.086,24mo,5,1,5,Yes
37,0.132,24mo,5,2,1,Yes
38,0.074,24mo,5,2,1,Yes
43,0.201,24mo,5,3,1,Yes
44,0.132,24mo,5,3,2,Yes
45,0.097,24mo,5,3,2,Yes
46,0.235,24mo,5,3,3,Yes
47,0.201,24mo,5,3,3,Yes
48,0.115,24mo,5,3,3,Yes
49,0.728,24mo,5,4,1,Yes
50,0.539,24mo,5,4,1,Yes
51,0.149,24mo,5,4,2,No
52,0.166,24mo,5,4,2,No
53,0.138,24mo,5,4,3,Yes
54,0.126,24mo,5,4,3,Yes
55,0.063,24mo,5,4,4,No
56,0.086,24mo,5,5,1,No
57,0.12,24mo,5,5,1,No
58,0.195,24mo,5,5,2,Yes
59,0.063,24mo,5,5,2,Yes
60,0.149,24mo,5,6,1,Yes
62,0.063,24mo,5,6,1,Yes
63,0.126,24mo,5,6,2,Yes
61,0.143,24mo,5,6,2,Yes
64,0.183,24mo,5,7,1,Yes
65,0.063,24mo,5,7,1,Yes
