Animal,Blinding,X,Area,Age,Cell,Particle,AF,Volume,Astrocytes
7348,2,2,0.321,6mo,2,2,No,0.228984708,65
7348,2,3,0.321,6mo,2,2,No,0.228984708,65
7348,2,6,0.298,6mo,3,1,No,0.21257770399999998,65
7348,2,19,0.321,6mo,9,1,No,0.228984708,65
7348,2,20,0.321,6mo,9,1,No,0.228984708,65
DY34,5,31,1.897,24mo,1,1,Yes,1.353221156,41
DY34,5,32,1.404,24mo,1,1,Yes,1.001540592,41
DY34,5,33,1.249,24mo,1,1,Yes,0.8909716520000001,41
DY34,5,49,0.728,24mo,4,1,Yes,0.519317344,41
DY34,5,50,0.539,24mo,4,1,Yes,0.38449457200000003,41
DY34,5,75,0.458,24mo,12,1,Yes,0.326713384,41
DY34,5,76,0.39,24mo,12,1,Yes,0.27820572,41
DY34,5,78,0.413,24mo,12,1,Yes,0.294612724,41
DY34,5,91,0.292,24mo,14,3,Yes,0.208297616,41
DY34,5,97,1.719,24mo,16,1,Yes,1.226245212,41
EA60,1,1,1.782,24mo,1,1,Yes,1.271186136,61
EA60,1,2,1.782,24mo,1,1,Yes,1.271186136,61
EA60,1,4,0.407,24mo,2,1,Yes,0.290332636,61
EA60,1,5,2.155,24mo,3,1,Yes,1.5372649399999998,61
EA60,1,6,2.155,24mo,3,1,Yes,1.5372649399999998,61
EA60,1,7,1.983,24mo,3,1,Yes,1.414569084,61
EA60,1,15,0.395,24mo,5,1,Yes,0.28177246,61
EA60,1,32,0.499,24mo,8,2,Yes,0.355960652,61
EA60,1,33,0.47,24mo,8,2,Yes,0.33527355999999997,61
EA60,1,34,0.648,24mo,8,2,Yes,0.462249504,61
EA60,1,51,0.413,24mo,9,6,No,0.294612724,61
EA62,6,102,3.049,24mo,1,1,Yes,2.174998052,48
EA62,6,103,2.705,24mo,1,1,Yes,1.92960634,48
EA62,6,104,1.078,24mo,1,1,Yes,0.7689891440000001,48
EA62,6,105,0.298,24mo,2,1,No,0.21257770399999998,48
EA62,6,108,0.413,24mo,2,2,Yes,0.294612724,48
EA62,6,109,0.94,24mo,2,2,Yes,0.6705471199999999,48
EA62,6,113,1.605,24mo,3,1,Yes,1.14492354,48
EA62,6,114,1.146,24mo,3,1,Yes,0.8174968079999999,48
EA62,6,115,0.527,24mo,3,1,Yes,0.375934396,48
EA62,6,116,6.717,24mo,4,1,Yes,4.791558515999999,48
EA62,6,117,1.49,24mo,5,1,Yes,1.06288852,48
EA62,6,118,0.963,24mo,5,1,Yes,0.686954124,48
EA62,6,119,1.949,24mo,5,1,Yes,1.390315252,48
EA62,6,120,0.504,24mo,5,1,Yes,0.359527392,48
EA62,6,121,0.596,24mo,5,1,Yes,0.42515540799999996,48
EA62,6,122,2.659,24mo,5,1,Yes,1.8967923319999997,48
EA62,6,123,2.086,24mo,6,1,Yes,1.488043928,48
EA62,6,124,1.857,24mo,6,1,Yes,1.324687236,48
EA62,6,125,1.788,24mo,6,1,Yes,1.275466224,48
EA62,6,126,0.917,24mo,7,1,Yes,0.654140116,48
EA62,6,127,0.619,24mo,7,1,Yes,0.44156241199999996,48
EA62,6,128,0.665,24mo,7,1,Yes,0.47437642,48
EA62,6,129,0.344,24mo,8,1,No,0.24539171199999998,48
EA62,6,131,0.481,24mo,8,2,No,0.343120388,48
EA62,6,134,0.459,24mo,8,4,Yes,0.327426732,48
EA62,6,135,0.321,24mo,8,4,Yes,0.228984708,48
